object,creator,description
"
                Occupational Therapy Toolkit for Quadriplegic
                			",Cor Winckler,"SummaryThis is a AID toolkit for Occupational Therapy for Quadriplegic or limited-hand-mobility cases.These are building blocks that we use to decide what can work for your particular case.Blocks/Shapes of different angles can be stuck together until a good combination is found.The 90degree bracket is meant to go inside the hand. And the finger-shape can be stuck onto that using the appropriate angled block.You can print rings and holders at different scales until you find the correct size for the hands/fingers you are working with.So pick the parts, find the right scale for your application, and you can construct many different combinations of utilities.We have had success with finger-stilts, and with a knife-mount for cutting, and general waterbottle handle. These are all modular parts-based so you can scale and print just the appropirate bits and then stick them together. We usually use prestik first... and then once we think it can work we stick it down with proper glue.The platform can be used with velcro-straps to attache around the palm of the hand.I will add to the kit as we go. There are more things we are trying.The person that this was original made for has an online campaign to help them with expenses for their rehab:backabuddy.co.za/champion/project/get-attie-conradie-mobile-again"
"
                Berlioz Braille Sample - 3D Print
                			",Evavooo,"A sample of 3D printable braille.The text reads - ""Le temps est un grand maître. Le malheur, c'est qu'il tue ses élèves."" (Time is a great teacher, but unfortunately it kills all its pupils.)A quote from Louis Hector Berlioz (December 11, 1803 – March 8, 1869) a French composer, conductor and music critic, widely seen as the greatest representative in music of the French Romantic school.This sample we're created after inital feedback during a focus group at the Imakr store in Spring 2015 conducted by 3D designer Eva Sbaraini."
"
                UPDATED FOR STAGE TWO Onno Van Der Neut - Waterlock
                			",Onno van der Neut,"Design by - Onno Van Der Neut Stage Two:The design has been modified to be more robust to help durability. Stage One:The floating body in this design makes sure the water pressure is overcome when the soap is lifted. When it is lifted the water flows over the persons hands, they wash their hands and release the cord to make the water stop.    File contains Stage One and Stage Two submissions. ADD YOUR COMMENTS BELOW!"
"
                Accurater Nozzle For Finger
                			",François Jaffres,"This is a finger nozzle designed for disabled people with a missing phalanx, people with large finger or simply for old people. For these people, it is often not easy to push on a precise location with their finger, like for exemple press only one touch on a resistive touchscreen or on a remote control. With this small part fitted on any finger (but especially on the thumb and the index), this problem will be a thing of the past."
"
                Yogurt or compote pot holder and grips. Adaptative and ergonomic devices
                			",MoreAnge,"This is only my second entrance on a 3D design contest. I'm happy participating with « MyMiniFactory + Barclays Eagle Labs » by contribuating for this #enabledby3d program !!!I'm particulary sensitive to handicap's situations, because I know people in my immediate and extended family who live this kind of situation. One of the main interests of the 3D printing is the customization for each object who will be manufactured. And that perfectly matches the field of disability, as it must constantly offer a unique solution to each patient, because he lives daily with its own unique situation and very personal. The world of 3D printing can make a great revolution and become a valuable aid for people with limited use of their hands (and also other handicaps, but the subject currently involves hands). It will be possible to adapt with a great precision the necessary devices for each particular case. We will help to better people who deserve better living conditions, and this contribute to a better well-being for them.So, I've designed a modular device, who allows holding a compote or yoghurt pot, correctly. You just have to print the ""Yogurt Holder.stl"" first, and searching the best solution for the handle by testing one or more of the other objects designed for my project. You can go from a handful to another as many times as you want, thanks to the system of interlocking dovetail that engages from underneath the device.*** You could merge the .stl files when you will have find the best solution with meshlab or meshmixer, and finaly have only one mechanical part by prinitng your design. You can use the ""Dovetail Shape for mesh mixing.stl"" file for adapting an other handle solution. Be attentive of the orientation of this mesh, there are 91 degree angles between the bottom and the two faces who will be engaged on the negative dovetail shape from ""Yogourt Holder.stl"". If you are not vigilant, your mechanical part won't slide correctly. It 'll be possible, but you 'll have to put your part upside own !!! ***I wanted to design a nice object, which don't remember a medicinal device. In the specifications that I had imagined, I had decided that it had to be easy to print.If you have suggestions or questions you can use the « MyminiFactory » website comment section. For a specifical adaptation of the handle, you can use the same way, I'll study a few case for helping you (I'd need to collect a maximum of informations (description, photos, vidéos, measuring datas).Printing Tips :PLA : all the object of this project have been optimized for PLA, there is 0,2mm tolerance for a good slide between mechanical parts. Optimized results with the technical spécifications below (after ABS paragraph). These choices were made based on existing and current technical specificities of FDM printing machines.ABS : you will have to verify if the tolerance are good or not (test only the 20 first layers. If necessary, adjust a little by scaling ""yogurt holder"" (1.01 until 1.03).Put vertically the object, like the .stl file on nettfab for example. (except ""Long Handle for Yogurt Holder.stl"" : you must have to rotate it for 180 degrees on x axis. It will be upside down).0,4 mm nozzle.20% or 33% Infill.Brim, no raft needed.No support material (except ""Single 45deg rotation Left Handle for Yogurt Holder.stl"" and ""Single 45deg rotation Right Handle for Yogurt Holder.stl"".), the objects are designed with the 45 degrees rule.Wall thickness : 0,8mm0,2mm for layers thickness.#enabledby3d Wholeheartedly for a better World. #enabledby3dMy49RobotAnge3000"
"
                Aid2O - Elephant
                			",Sorin Popa,"Design by - Aid2OThe Aid2O is a practical water flow-con­trol device that can be used with any bucket, jerry can or water barrel available in a refugee camp. Water is pumped into the upper reservoir through a pumping action applied onto a bar of soap. Water then slowly trickles down the reservoir, allowing the user to wash his soapy hands (and the dirty soap) without further contact with the device.ADD YOUR COMMENTS BELOW!"
"
                Hairspray Pump
                			",Henry Qiu,"Please read the safety concern section belowMost of you have glass beds, and hairspray is one of the most commonly used bed adherence tools.I'm not a fan of removing my glass bed every time I re-apply hairspray so I usually fold a paper towel into a little square, and spray the hairspray onto there, and then wipe it on in a thin layer in the middle of the bed. This has worked great, except I need two hands to do this, and I always end up coating the other hand in hairspray.I was modeled after a can of unscented extra super hold Aquanet, but this has fit with a wide range of compression cans.NOTEIf It doesn't mist out and it ends up streaming out, (the hole may seal due to over extrusion), just take a thin needle or pin and tap it into the hole. I used a 0.5mm needle to enlarge my hole, mists perfectly now1) Print this out2) Pull off the spray nozzle on your bottle of hairspray3) Snap this into place4) ...5) You're done!Now, I have a little sheet of paper towel folded next to the can, and every time I want to apply some hairspray to the bed single handedly, I just take the paper towel, and press down on the mouth quickly, and wipe that on the bed. Nice single even coating of hairspray!I used concentric supports at 30% with a 0.5mm gap, it supported it great and fits perfectlAfter the unfortunate events that took place regarding the hairspray ignition, I hope that this becomes more aware to more people to be more cautious while doing anything similar; not only with hairspray, but with anything flammable. This means to remember to put the lid back on your Acetone, Rubbing Alcohol, anything that can be a risk to your safety. Don't take shortcuts, take the time to remove your glass bed and apply the hairspray in a well ventilated area away from any ignition sources.Please note that I am NOT trying to promote my design, but offering it as a solution to those who don't want to remove the bed every timeI designed this model a while back for applying hairspray onto a glass bed. It goes over the top of a standard aerosol spray can nozzle and acts as a pressure pump, where you press down onto the opening with a paper towel or rag, and sprays onto there. From there, I give the bed two or three thin even coatings, without having to remove the glass bed or getting any excess mist into any hazardous areas. If you know you aren't going to remember to take the precaution to remove the glass bed before applying, this is one workaround you can use. Again, I appreciate the generous tipping on thingiverse, but I offer this as a free model and please, take the necessary precautions for your own safety. And to the family who had to go through this, we send the best wishes your direction, words fall short of expressing our sorrow for your loss.InstallationWhen installing, remove the spray nozzle on your aerosol spray can and carefully put this on. When I first put it on, I thought it was a good idea to just press this onto it, and resulted in hairspray in my face. This has happened to others as well, and there are two solutions that I have heard.1) position it on top of the nozzle and with one palm, slam downwards onto the opening directly quickly. This will snap it into place before it sprays everywhere2) use needle nose pliers and grip the opening of the nozzle to avoid it being compressed inwards, and snap this into place."
"
                King's Toilet Bowl Pedal
                			",Mark Fuller,Ever Wanted to flush a toilet like a king? Be Proud to Flush(Can be printer on a makerbot 100 X 100 X 10mm)Video Added:
"
                Umbrella holder for wheelchair - version2
                			",CARLOS BASAURI,"Umbrella holder for wheelchairCompared to the former version of the device, this one is simpler (only three parts) and will surely take less printing time but maybe it is a little less sturdy (taking advantage as it does of the flexible properties of plastic). It's probably also a bit more limited to umbrella's handle sizes. Compared to the first version, this one allows the umbrella's angle positioning with no toolsI came to this idea the other day watching a fellow getting soaked while he rolled his wheelchair wearing a cloak under the rain. I don't know if you can find somerthing alike in the shops, but he didn't have one and surely he would have found it really handy if he had had it then. So here it is, for the benefit of all of you that are less fortunate than me and cannot walk (but in any case, still like to get out when it is raining). The device is composed of three pieces of plastic (ABS or similar) to be printed. You will also need two countersunk head screws M5x20 (best would be DIN 10642) and two M5 nuts to fix it to the wheelchair. The device is designed to be attached to any wheelchair tube from 22 to 25 mm of diameter. The umbrella can be dettached with no tools. I haven't printed one myself (I haven't got a 3D printer) but I have doublechecked everything and it should assemble nicely (just as all my designs always do !!). Please let me know (gcon114@gmail.com) if you find any glitches in it or if you think it can be somehow improved, and I will gladly redesign it for you. So print it and enjoy the sunny side of the street !! (even if it is raining)"
"
                Volksswitch - the People's AT Switch (Proof of Concept)
                			",Ken Hackbarth,"As I was working on a master’s degree in special education and a certificate in assistive technology, I had the opportunity to survey the domain of assistive technology – in particular electronic input devices. The first thing I noticed was a mind-numbing variety of available pressure switches with huge amounts of overlap in functionality and features. They’re also hugely expensive. It was difficult to understand why a particular manufacturer chose to incorporate a particular feature set into their switch, but once incorporated, there was little or no support for customization.While researching and writing my master's project, I happened to purchase a 3D Printer and immediately saw the opportunity that 3D printing created for low cost, one-off (personalized), manufacturing. The technology is also simple enough to use that it could be put into the hands of people close to the individuals with disabilities – OTs, PTs, ATPs, and even families.The switch design here is intended only as a proof of concept (POC) or as an existence proof. Every design element and decision could be improved upon and I hope it will. The purpose of this design is only to get the conversation started.The Volksswitch has goals in terms of cost, functionality and reliability but simultaneously aspires to high levels of customization and personalization – a capability which is only now feasible via the technology of 3D printing. If you believe, like I do, that’s possible, please visit the Volksswitch website (volksswitch.org) and join us!Power to the People! ---------------------------------------First Mechanical Remix... (https://www.thingiverse.com/thing:2870415)With this remix we removed the need for the heat-set threaded inserts to attach the cover and GoPro mount to the base. These components are expensive and take special equipment to insert them into the base and activation surface. We also replaced the 1/4 inch bolt with a printed post and a screw-in collar (with its own Teflon tube lining) to make the connection between the activation surface and the internal spring more stable and the action smoother.Download the files and then go to my website at: wp.me/P9evBA-4D to learn more about additional parts that are needed and how to assemble everything. If you're interested in helping to improve on the design of the Volksswitch go here (wp.me/P9evBA-7) and provide your contact information"
"
                fly trap,wasp trap,pest trap
                			",LunaxLab,"this is a print you can change a coke bottle into a fly trap or wasp trap,you need different lure for different pest."
"
                Bottle Opener Ring
                			",Dan O'Connell,I saw a picture of a bottle opener ring and thought it was cool enough to design. Please do not use this if you are under the legal age. Drink responsibly.Inner diameter is 18 mm
"
                Garden bench/swing coffee/beer table v2
                			",Adrian Siemieniak,"This is second version of my small bench table for tee/coffee or cookies :). Previouse design (observed after a year of usage) had at least few flaws. First of all, it was shaky - mouting point was too far away off the weight center. Secondly, beacuse printed plastics are not as rigid as mould ones, high temperature made holder/clamp soft and it usually lost the grip.Table is designed to be printable on standard 20x20cm print bed, without supports. Table size is 18x12cm and whole project is build from three components. Table itself, frame around and and three clamp/mount - you have to choose one. Clamp is designed for poles of approximately 50mm diameter. If yours are smaller - you can use some rubbers shims (or ask for another dimension :) )Second relase is much more stiff, works great and easily witholds high temperatures but all of this at a cost of mouting flexibility. Beacuse table fixing point is close to the center, it can't be mount on very vertical poles. Another thing, since clamp plastic was not strong enought to relay only on friction when fixing with table, now I've introduced 45deg angle, fixing positions. So you have to choose proper mount for your task.You will require also three m5 nuts, screws and washers - to fasten the clamp.  "
"
                Heavy duty bag holder
                			",Fabrizio Morelli,"Originally designed for molding mass production the model has been adjusted for 3D printing to maintain the original strength Suggested printing dataLayer 0,3 mm infill at least 50 %This model can hold more than 15 Kg"
"
                Plug Pull
                			",Luca Parmegiani,This is a plug handle that has easy grip surface that minimises hand strain and conserves your energy. It can be used with British plugs with different forms and dimensions.
"
                Easy Key for mobility
                			",Reg Taylor,"Easy Key is designed to fit most key types, just fit the key between the key holder part1 and part 2 thenuse a self tapping screw to lock the key in place. Next insert the assembly into the holder and use a second self tapping screw to keep it in place.Your ""Easy Key"" is ready to use."
"
                Prosthetic Nose / Makeup appliance
                			",Alexi Creecy,"At NIDA (National Institute of Dramatic Art) where we do prop and object production for theatre and TV we also get into some prosthetic makeup appliances. This here is my first attempt at putting together a prosthetic using only digital techniques. I felt this was an interesting study into the quickly changing world of manufacturing where many jobs are being automated or done digitally. The piece here was started using a skannect scan (photogrammetry), cleaned up and sculpted in Zbrush, then finally finished in Rhino and netfabb. I've cast the final piece out of silicone and given it a quick paint.While this is a witches nose, due to my lack of Zbrush expereince, the same process could be used to produce realistic limbs and skins for persons with injuries or missing limbs instead of makeup effects.The design can be easily split in netfabb to accomodate any print bed. To use the mold print both parts and clean up any stray plastic. Mix 60grams of silicone or another soft rubber, and pour into the mold portion. While the silicone is sill liquid, squash the nose scan (or the buck) into the cavity and the circular key.Apply pressure with a mold strap or light clamping until the silicone is cured.Once cured: Open to mold to find the nose fits the scanned person"
"
                Easy can opener/holder
                			",Neil Lithgo,"For people with limited dexterity, manual manipulation reduction or just had their nails done: an easy can opener which doubles as a better grip handle.I went through a few design iterations here but only had time to print one test model. If I had more time I would make a few adjustments to the sliding handle mechanism to make it a bit more solid but the concept works."
"
                Sixth-Finger / Sixth-Toe Capacitive Stylus
                			",Ken Hackbarth,"This design was inspired by a request posted to the ATMakers.org page on Facebook for a way to make a capacitive stylus that could be used by people with limited finger control. When I asked the poster to describe the device further I was pointed to a commercial device available on Amazon called the Sixth Digit by Handizap Capacitive Touchscreen Finger Stylus Ring (amazon.com/Handizap-Capacitive-Touchscreen-Finger-Stylus/dp/B016X2GMZK). I read through the comments of customers who had purchased the product and found that there were some fundamental issues with the design:• “Couldn't get them to stop rotating around my finger and you can't squeeze them to tight because it'll cut the circulation off in you pinky finger. Just the little bit I did use them I noticed that whatever the tip was made of it had already started to wear out pretty fast.”• “Worthless. They spin around your finger. At 2 for $30 I laughed at myself at how I got ripped off. Looks like something you would get out of a gumball machine. Don't waste your money.”• “Good idea but ring won't stay tight on finger”I chose a design that would mount to both the user’s little finger and ring finger to prevent the rotation and found some high quality capacitive tips (amazon.com/gp/product/B074XVH3JP/ref=oh_aui_detailpage_o08_s00?ie=UTF8&psc=1) for about $0.60 apiece. I experimented with using a simple bolt as a conductor from the tip to the user’s finger as well as special conductive PLA from ProtoPasta (amazon.com/gp/product/B01BDL4BY0/ref=oh_aui_detailpage_o04_s00?ie=UTF8&psc=1). Both solutions work well and cost about the same - $1.00 to $1.50 per stylus, which is a savings of about $12 over the commercial product.The bolted stylus requires a 5 mm hex head bolt and two hex nuts. [The length of the bolt depends on the length of the desired stylus.] The conductive stylus requires only a single hex nut and the post can be arbitrarily long (or short).For greater customization, the post of the stylus is a separate component as is each of the rings so each component can be printed out of a different filament and each ring can have a different diameter to better fit the user’s fingers. I have included simple sizing rings that can be printed and tried before selecting a particular sized final ring to slice and print. I provide STL files for the posts in a variety of lengths and STL for the rings in a variety of internal diameters from 10 mm to 30 mm.Finally, I discovered that, by simply rotating the mounting point of certain ring types about 90 degrees, the same fundamental design could be used to attach the stylus to an individual’s foot. The larger diameter rings are particularly useful for that application.You can get detailed information about the process for selecting components and assembling each stylus by visiting our web page (wp.me/P9evBA-25).Note that everything you need for 3D printing is included in the ZIPX file. Ignore the STL files included on this page, They are just for illustration.Enjoy!Sixth Finger Stylus in action: youtu.be/vL_oSGm0IBwSixth Toe Stylus in action: youtu.be/TNfXjLh_SkwA very long stylus made of conductive filament: youtu.be/esuzNmWnNLg"
"
                Tours De Hanoi - Hanoi Towers
                			",BA jp,"Célèbre tour de HanoiLes tours de Hanoï (originellement, la tour d'Hanoïa) sont un jeu de réflexion imaginé par le mathématicien français Édouard Lucas, et consistant à déplacer des disques de diamètres différents d'une tour de « départ » à une tour d'« arrivée » en passant par une tour « intermédiaire », et ceci en un minimum de coups, tout en respectant les règles suivantes :- on ne peut déplacer plus d'un disque à la fois ;- on ne peut placer un disque que sur un autre disque plus grand que lui ou sur un emplacement vide.On suppose que cette dernière règle est également respectée dans la configuration de départ . Wikipedia.petit modèleimprimer en 1/10ème ou plus petitbon jeu de casse tête (pas facile du tout)NOP21"
"
                Seatbelt buckle stopper
                			",Reg Taylor,"SEATBELT BUCKLE STOPPER I just got back from a long road trip and one of the most annoying things that happened was that little bit of plastic, the one that stops the seatbelt buckle from sliding all the way down to the floor. Well I lost it. What a pain, every time I would go too put the seatbelt on the buckle would slide down to some inaccessible gap between the chassis and the door. I never realized before how useful this little tiny object is, so after making a new one on the printer and fitting it I have decided to share the files just in case any of you have also lost yours. To fit it:Push the back plate through the seatbelt in the same place as the old one was then put the front plate on and warm up a pocket knife blade just to melt the protruding part of the pin, try and flatten it out neatly so it holds the 2 parts together. Simple but can avoid a nervous breakdown "
"
                Key adapter for disabled
                			",Luca Parmegiani,This is a support for people with less ability to use a usual key.
"
                Crutch Cup and Can Holder
                			",Walter Hsiao,"Minimal printable cupholder / canholder designed to be printed in one piece without support. Bolts through the unused holes in the crutch using 1/4-20 hardware. I have not tested this design with an actual set of crutches so it may require additional modifications. You'll probably need to customize your own design to configure the diameter of your crutch tube and the diameter of the opening for the cup. You can access the original parametric design in Onshape (https://cad.onshape.com/documents/82ad17b007a94613841d6972/w/64cdf7020bb64706aea49f5d/e/c2d608f07771465899628a07)The main parameters you're likely to modify, the cup diameter, crutch mount diameter, or the gap in the hinges are labeled in all caps. But feel free to modify in other ways. The different versions are stored in separate branches, the small cupholder is in the main branch.Print SettingsRafts: Doesn't MatterSupports: No Notes:Printer: RigidBot"
"
                Norton Middle School DEAR ZOO Tactile Picture Book
                			",M Bridges,"Norton Middle School Students (Norton, MA) remixed the original tactile picture book model published by the University of Colorado. These 6th graders worked very hard to enlarge each page, improve supports under each animal, add braille lettering, and include loops for easy binding with rings."
"
                Utility Band
                			",Havenlabs,"A big thank you to our team and lead designer Mohammad Hasani for his help with our Utility Band project.This is the second device we have developed and tried to make both simple to assemble as well as versatile. Here is a link to show how this device is both used and how the tools slide into the band:Also, please note that these tools (silverware holder and tool holder) are attached to the Solid Slider via Locitite Super Glue (link below). The material that each piece should be printed in is labeled in their respective STL file above.The Utility Band is designed for upper limb amputees and is inspired by the sacrifices of our American veterans. The goal is to have a modular platform (such as the Solid Slider) to work with tools that have been created by others within the open-source community.We are currently still working on more tools for this device and would greatly appreciate any feedback to make Utility Band the best it can be!Additional Material Information:You will need:Ninjaflex FilamentA Velcro Band (No larger than 2 inches in width) - https://www.amazon.com/VELCRO-Brand-Purpose-Straps-Strap/dp/B000TGX0HK?th=1Loctite (Super Glue Control) - http://www.amazon.com/Loctite-1363589-Control-Adhesive-Bottle/dp/B003TP2TBQ"
"
                Braille Keyboard Covers Keys
                			",Stefano Veronese,"Use a drop of silicone to paste the individual covers over the keyboard keys.Under each cover is the corresponding symbol to make no mistake.The covers are slightly rounded to attach better in the recess of the keyboard keys. The Braille specifications were found here:http://www.brailleauthority.org/ueb/symbols_list.pdfAdding ""SHIFT-KEY REMEMBER""For those symbols that are obtained with the SHIFT key, this additional element must be added between the key and the Braille key cover.This element increases the height of the Braille key cover by 3 mm (0.118 inch) and makes the blind person perceive a difference to the touch compared to the other buttons to remind him that he must also press the Shift button."
"
                Forceps
                			",MatterHackers,"These forceps were designed to help Brandy use credit cards. Turns out they are usefull for much more than just that - she has a pair everywhere she goes.Stop Adapting and Start Printing: The Brandy StoryWhy adapt to a physical limitation when you could print something to make your life easier? Watch Brandy Leigh Scott, a woman living with Dupuytrens Contracture, learn to customize objects with 3D printing to meet her everyday needs.The original forceps shown were printed in Translucent Aqua PRO Series PLA, but any PLA will work just fine."
"
                Sandino Torres - Plastic tap
                			",sandino torres,Design by - Sandino TorresThis solution to hand washing boasts a simple pump action to expel water when washing hands. The friendly design encourages both adults and children alike.  ADD YOUR COMMENTS BELOW!
"
                The next beverage holder for people with disabilities
                			",Nils,"This is my next version of the beverage holder for people with disabilities. It is designed to be adjustable in height and inclination. You can put a glass, cup or can in it. If you put a little ribbon around it, it keeps neatly in place, even if someone hits the table it is standing on. With it wide legs it is almost tip-over-proof.The beverage holder consists of five parts: two screws, two legs and one plattform. Everything can be printed in about 5 hours. I hope you enjoy my design. Make sure to check the video (https://www.youtube.com/watch?v=zIda8vDgoi0) to see it in action. I design these kind of aids as a hobby. Please visit my website at https://makershelpcare.de/. Cheers!Nils"
"
                Self Aligning Cup/Bottle Holder
                			",Emanuel Garcês,"A self aligning cup/bottle holder for use with crutches, walkers and wheelchairs. Taking advantage of the gyroscopic effect and gravity this cup/bottle holder keeps its contents always aligned. Unfortunately many of the people that have limited use of their hands and fingers, have to simultaneously use crutches, walkers or wheelchairs and as such have trouble carrying bottles and cups, usually they depend on others to give them a helping hand. Some of them have attachments that allow them to carry these objects but most of the times these devices only allow for cans or closed bottles, for this reason I designed this gyroscopic cup holder, due to its design it will ensure that your drink is always correctly orientated and you can concentrate on moving to where you need to be.This design contains several versions of many parts to accommodate different placements, tube sizes cup/bottles sizes, it should be ideal for most uses but if you require a specific size for any of the parts (tube clip and clip supports) let me know and I will see what I can do for you.Printed with ABS at 280ºC, two perimeters (two perimeters are enough but for added strength I will print this again with three or four perimeters), 50mm/s, 3 solid top and bottom layers, 20% infill at 0.2mm layer height. Due to the tendency for warping ABS can be challenging therefore if it begins to warp, that warping can mess with the tolerances in this design, especially the holes for the screws, as such PLA or PET should be a better/easier print.Assembly:Begin by choosing what tube clip you need, standard or rotated, this will vary according to the place were it's going to be installed . The rotated indication refers to orientation of the hexagonal connector. Next you will need an 20mm M4 screw  and nut, for my build I used nylon locking ones but that is not required, next join the tube clip with the first ring (ring_1.stl)The second ring requires two 20mm M4 screws and nuts, simply slide the nuts on to the corresponding holes and using the screws attach the second ring (ring_2.stl) to the first (ring_1.stl), ensure that screw head rotates freely inside of it's space, if you have warping these holes might be too tight, either sand them until the screw rotates with no friction or reprint the part.There are two versions for the the last ring (ring_3.stl and ring_3_alt.stl), a solid one if you don't want/need the extra bottom part. Assemble it like the previous rings.If you chose to print ring_3.stl you have the possibility of adding clips and a bottom coaster to the cup holder. At this moment you need to choose one of sizes provided for the supports (S, M, L and XL). If you are unsure then the L version is probably the best compromise for an adult and the M the best for a child. Simply clip both parts (part1 and part2) to the third ring, it should just snap into place. Finally place the coaster at center, with the weight of a cup/bottle it will stay in place but you may need to add a few drops of glue to insure that it wont leave it's place. As a further improvement you can add a bit of cork to the coaster to better grip the drink.Check if all rings rotate almost friction less, if not sand them, reprint them or try to adding a bit of grease, if there's too much friction the cup holder won't be able to operate correctly.Every ring is attached using 20mm M4 screws  and nuts, except for the tube clip, this one will depend on the size of the tube or you can also use a good quality zip tie.Tip: Use a electrical insulating tape around the place were you are going to attach the tube clip, this will provide extra grip for the clip.Tip 2: Add a circle of cork to the bottom of the coaster to dive a better grip to the drinks."
"
                CRE-008 Lower Limb Exoskeleton - Huced Despro ITS
                			",Djoko Kuswanto,"This is a 3D printer-based Lower Limb Exoskeleton Design. Developed and designed by Ibnu Arif Wicaksono, Department of Industrial Design, ITS Surabaya, Indonesia. Advisor: Djoko Kuswanto, ST., M.Biotech. BELIEVE ME, IT WORKSthere are 2 file format DWG for laser cutting .... i can not upload here .. please email us to get file .. crewolprint3d @ gmail.com or crewol@prodes.its.ac.id"
"
                Esso - 250ml Can holder
                			",Rony Sett,250ml cans snap in and you can drink them just like drinking from a mug. Can easily snaps in and you can enjoy drinkin. Made a revision after printing to make it more balanced and easier to snap in.
"
                Anhåll
                			",Tommy Kumpulainen,Anhåll till Hultefors Meterstock G59
"
                Pull saw for Maslow tabs
                			",Jon Turnquist,"I needed a pull saw to cut the tabs clean that my Maslow CNC generated and I wanted something more substantial than a hack saw blade. This uses any ""Sawzall"" type blade so you can use any length or type that fits that type of saw. The internal space fits the tang and saw profile for support so the thumb depression is ""up"" and the saw blade only fits that way. You may need to clean out the slot depending on how clean your printer prints. Be careful inserting the blade and be sure it's in far enough to secure the blade with the small bolt. I found tapping the handle base on the floor worked well to ""seat"" the blade. FYI: I designed the blade end profile first then just subtracted that (difference) from the body."
"
                Ergonomic Pen - Takes a Standard Biro Inner
                			",Martin,"Here is a easy to print ergonomic pen with holder that will take a bog standard biro inner. Once the inner has ran out of ink you can pull the pen apart and re-use it with another biro. I thought about selling this design but then thought better of it as i could see this helping people with dexterity problems and would rather give back to the community. Feedback on this first version of the pen greatly received.NOTE: The biro inner does need cutting down to length, whilst i have shown a photo of the dimension i used you may find it best to insert the biro into the end of the pen (and ensure it is pushed all the way in and the put the grip on the other end and the measure the gap left at the centre to ensure you get a accurate length for your print. I did find a couple inners did not work as the ink was to far up the shaft so i couldn't cut them short enough. Most did fit though."
"
                Bottle Cap Clip
                			",Matthew McMorran,"The clip-cap provides a means to attach standard plastic drinks bottles to your rucksack, bag or belt. Developing the design over 8 months the thread on the under side will fit onto nearly all carbonated and fresh water drinks bottles. The snaking clip with ribbed inners ensures that it stays on the bag, not the ground. Fits : 28mm bottle neck (coca-cola - evian - buxton etc.) Finger grip for easy twisting Unique 'S' shape design to keep it on your bag  Why not personalise the design further in your favourite CAD software?"
"
                iMakrthon Entry - Contact clash Solution Card Holder
                			",MyMiniFactory,"Runner up in the iMakr 3D printing Hackathon - Ravensbourne Design college This product addreses the very modern problem of ""Card clash"".The solution was a card holder that holds 3 different cards in a 3 different card slots that can slide out independently of one anther using a clever mechanism. These Very smart , very functional, very relevant."
"
                Hands free suitcase puller- life hack
                			",Reg Taylor,Life Hacks Hands free suitcase from Reg Taylor on Vimeo.This is a Hands free suitcase puller equipped with an anti theft device so no one can sneak up an steal the case from behind you. Once the belt places around your waste the suitcase handle can no longer be removed from the device until you remove the belt. 
"
                Single hand Joy-Con adapter
                			",Julio Vazquez,"This adapter was developed by request of my friend Rami Wehbe , who wanted a way to play Zelda: Breath of the wild using only his left hand; as he lost the ability to control his right hand due to a cerebrovascular accident.The Legend of Zelda: Breath of the Wild has a complex control scheme, and the shape of the included Joy-Con grip doesn't help at all. So, I decided to make a customized grip that would help in this situation.This current design was the result of almost a week of research and lots of failed prototypes, as I had to ensure that it would be easy to print, lightweight and practical. After testing that it works properly, we decided to share it, so that it can be of help to other gamers in a similar situation.In this video, you can see the the usage instructions and a small demonstration."
"
                Fruit and Vegetable Cutter
                			",B Murphy,"Simple Fruit and vegetable cutter , Makes a nice addition to any Kitchen .Build dimentions are 65mm X - 65mm Y - 52mm Z ."
"
                Swith Plate Embossed (Single)
                			",Matthew Comer, Simple to have customized switch plates around the house.
"
                No More Jane Doe's
                			",Reg Taylor,"Safety QR tag for people with mental and or physical disabilities  No more Jane Doe’s in the lost department Today smartphones are capable of reading QR codes and in the EU alone 68% of users own one. This tag holds a QR code that is printed on a home printer The code can be created here on many different web sites, here are a couple:BarcodesInc and downloaded for free.Scan Me Very easy to use and free.I created an image size of 3cm x 3cm then printed mine out on waterproof photographic paper. Then Using the template you can cut it out to size. You can choose any text for the QR codeFor example I have included:Name, Address postal and Telephone numberbut you could included important medical information or known allergies. Try scanning the code in the photo to see how easy it is.Security firstFor safety reasons the tag cannot be opened without destroying it, so any parents or gardiens can immediately know if the tag has been tampered with therefore avoiding any risk of tampering with the information inside. Attract attentionThe outside of the tag is marked in with the international SOS and on the rear side Emergency please read QR code, so any emergency or police services can quickly identify it and access the important information. AssemblyCréât your QR code and print it on photographic paper waterproof and UV proofUse the template to cut out the code. I have included a STL of the template so you can print one out.Place in the back plat so the code can be seenFit the Front plate the using a hot knife lightly melt the pin ends (see photo)This make it impossible to open the assemblyAdd a key ring fixing and place on the person in a good placeBlind Dog collarWheelchairHouse keysWalletPencil caseRucksackHandbagare just some of the possible locations"
"
                Cup Holder for different Type of Mugs/Glases up to 90mm
                			",BENOLD Andreas,"#TinkerfunThis object was made in Tinkercad. https://www.tinkercad.com/things/cXy9fLBJLdoI needed something to put my Mug/Cup in while enjoying the summer. So i came up with an Idea, designed this holder in tinkercad and took me 2 trys to get the messurements correct. You could easily adopt the adapter and modify it using tinkercad or something else, just att the proper dimensions for your needs :)"
